,Node,InDegree,OutDegree,BetweennessCentrality,DegreeCentrality,Type
40540,p_1779332,179,0,0.0,0.0043625551412346765,process
40541,p_2974631,1,0,0.0,2.4371816431478637e-05,process
40542,p_2979770,7,2,39499.633984220774,0.00021934634788330773,process
40543,p_2974390,152,0,0.0,0.003704516097584753,process
40544,p_1410862,1,0,0.0,2.4371816431478637e-05,process
40545,p_1782572,7,2,152150.51711814202,0.00021934634788330773,process
40546,p_1411768,1,0,0.0,2.4371816431478637e-05,process
40547,p_2679952,1,0,0.0,2.4371816431478637e-05,process
40548,p_2677569,148,0,0.0,0.0036070288318588383,process
40549,p_2675997,7,2,208064.2344561966,0.00021934634788330773,process
40550,p_2972846,3,2,14778.584100581797,0.00012185908215739318,process
40551,p_1778717,1,0,0.0,2.4371816431478637e-05,process
40552,p_1408002,7,2,110663.62276515157,0.00021934634788330773,process
40553,p_2978569,160,0,0.0,0.0038994906290365818,process
40554,p_2674280,184,4,390953.34072116535,0.004581901489117984,process
40555,p_2675125,1,0,0.0,2.4371816431478637e-05,process
40556,p_2977658,1,0,0.0,2.4371816431478637e-05,process
40557,p_1782752,162,0,0.0,0.0039482342618995395,process
40558,p_2980160,128,0,0.0,0.0031195925032292656,process
40559,p_1412832,1,0,0.0,2.4371816431478637e-05,process
40560,p_1777888,7,2,1182452.5179979654,0.00021934634788330773,process
